Air.temp,Species,Sex,Behaviour,Step_Distance,Track.num
23.18,MB,M,F,10.83106181,161
23.63,MB,M,R,3.064162845,162
23.63,MB,M,B,2.91151404,163
23.89,MB,M,F,15.78363803,164
23.89,MB,M,R,5.480376461,165
24.86,MB,M,R,2.49985872,171
24.86,MB,M,F,16.84450888,172
24.86,MB,M,F,23.26496858,174
24.86,MB,M,F,1.807571754,175
25.395,MB,M,N,10.7859994,177
25.395,MB,M,R,4.423850099,178
25.51,MB,M,R,6.134178446,180
25.51,MB,M,R,0.3472026,181
25.51,MB,M,F,9.4690636520000009,182
26.04,MB,M,F,1.739574498,185
26.04,MB,M,R,2.124032769,186
26.55,MB,M,R,5.607461212,187
26.55,MB,M,R,0.177950109,188
26.5,MB,M,R,0.06944052,189
26.5,MB,M,R,4.676608188,192
18.13,MB,M,R,6.620262794,194
18.13,MB,M,R,3.399334355,195
18.905,MB,M,R,2.142222035,198
22.805,MB,M,R,2.055737243,200
22.805,MB,M,R,0.2225156,201
23.66,MB,M,R,1.326791684,202
26.1,MB,M,R,2.992157602,203
26.27,MB,M,R,6.19791327,204
26.27,MB,M,R,6.643205567,205
26.735,MB,M,R,2.950260285,206
20.7,MB,M,R,6.870587491,207
20.7,MB,M,R,5.171170377,208
21.06,MB,M,R,0,209
21.35,MB,M,F,1.607084588,211
21.35,MB,M,R,9.487369925,212
21.69,MB,M,R,3.409853537,213
21.69,MB,M,R,0.663395842,214
22.91,MB,M,R,0,218
22.73,MB,M,R,0.412386757,219
23.545,MB,M,R,1.304994771,221
25.695,MB,M,N,0.944943244,222
26.24,MB,M,F,22.1493099,223
26.38,MB,M,R,7.344186376,224
26.38,MB,M,R,0.2225156,225
27.105,MB,M,F,5.834199103,226
27.105,MB,M,R,0.472339583,227
27.24,MB,M,R,5.283548173,228
27.24,MB,M,N,0,230
27.9,MB,F,R,0.69929722,236
27.935,MW,M,F,7.033365751,237
27.935,MW,M,F,11.83839521,238
28.01,MB,M,R,3.049294026,239
28.075,MB,M,R,0.998557688,243
23.07,MB,M,R,22.27636489,245
23.07,MB,M,F,13.3097218,246
23.515,MB,M,F,4.045859862,247
24.095,MB,M,R,7.412480594,248
24.345,MB,M,F,4.30531224,249
25.44,MW,M,F,0.262299705,250
25.95,MW,M,F,7.907536121,251
26.195,MB,M,F,4.354217404,252
26.355,MB,M,R,11.200989270000001,253
26.355,MB,M,F,5.654873012,254
26.355,MB,M,F,4.965991075,255
26.46,MB,M,R,2.103752245,256
19.96,MB,M,N,2.113898199,257
20.295,MW,M,F,15.91027377,258
20.295,MB,M,R,0.695017224,259
20.68,MB,M,F,8.462263062,260
21.98,MB,M,F,7.487937771,261
23.135,MW,M,F,2.420264275,262
22.865,MB,M,F,3.980375053,263
25.425,MB,M,F,3.467449593,265
26.22,MB,M,F,4.253204608,266
25.965,MW,M,R,2.206670842,267
25.94,MB,F,F,12.08896033,269
25.98,MW,M,F,0.534593768,270
26.2,MW,F,F,45.156895,271
26.2,MB,M,F,3.814131658,272
26.41,MB,M,R,9.73766056,273
26.655,MB,M,R,6.293674984,275
26.795,MB,M,R,1.994615163,276
26.98,MB,M,R,0,277
26.98,MB,F,R,10.66961273,278
26.92,MB,F,R,2.597867707,279
26.92,MB,M,F,6.807953231,280
27.435,MW,M,F,28.27544869,281
26.39,MB,M,F,3.334342433,282
26.8,MW,M,F,12.33233485,283
19.34,MW,M,F,14.659574,284
20.005,MB,M,F,5.3325994,285
20.3,MB,M,F,5.873161267,286
20.3,MW,M,F,9.058169691,287
20.315,MB,M,N,0,289
20.385,MB,M,N,1.543811623,291
20.845,MB,M,R,0,293
20.78,MB,M,R,9.176842251,295
20.78,MB,M,R,7.516517114,296
20.78,MB,M,R,2.041294516,297
20.87,MB,M,R,0.236169791,298
20.87,MB,M,F,7.875122579,299
19.115,MW,NA,R,0.434230878,300
19.55,MB,F,R,0.729185692,301
19.945,MB,M,F,3.0516944,302
21.585,MB,M,F,7.049124352,303
22.43,MB,M,F,10.30656365,304
22.42,MB,F,F,20.93945336,305
22.42,MB,M,F,6.558854111,306
22.42,MB,M,N,0.560606312,307
23.03,MB,M,N,8.799235744,308
23.03,MB,M,F,18.88759346,309
22.59,MW,M,F,7.396193657,310
22.59,MB,F,R,0.86248429,311
22.59,MB,M,R,4.36719427,313
23.17,MW,M,F,9.487711198,314
19.955,MB,F,N,1.652937517,315
20.19,MW,M,R,0.609626327,316
20.19,MB,F,R,7.252600729,317
20.19,MB,F,N,1.225804246,320
21.53,MB,F,N,13.78811874,321
21.445,MB,M,F,0,322
22.645,MB,M,F,1.674635784,325
23.975,MB,M,F,2.245470404,326
23.975,MB,M,R,0.56444877,327
23.975,MB,M,R,1.231690712,329
24.135,MB,M,R,0.534593768,331
23.72,MB,M,R,4.73242204,333
23.72,MB,M,F,0.434230878,334
20.26,MB,M,R,4.0052808,335
21.365,MB,M,F,5.518695854,336
21.53,MB,M,F,0.20832156,337
21.6,MB,M,R,2.486480533,338
21.6,MW,M,R,5.120579594,339
22.15,MB,M,F,1.060364585,340
22.06,MB,F,N,0.594016266,341
22.06,MW,M,N,0.833585608,342
22.06,MB,F,N,0.771905812,343
22.645,MW,M,F,7.121853466,344
24.035,MW,F,N,3.908810725,346
24.53,MW,M,F,14.89851536,347
24.905,MW,M,F,13.20916038,348
25.315,MW,M,N,2.257795082,349
25.54,MB,F,N,0.361514351,350
26.315,MB,M,R,2.119614859,351
26.665,MB,M,N,3.310773946,353
26.665,MB,F,N,0.236169792,354
27.17,MB,M,N,1.505165725,355
26.68,MB,M,R,1.782048797,357
26.68,MB,M,R,3.889804882,358
26.14,MB,M,R,1.591192605,360
25.95,MB,F,R,0,361
25.95,MW,M,F,12.13077655,362
25.495,MW,M,R,1.25487119,363
25.495,MW,M,R,0.393449558,364
25.415,MW,M,F,1.822964231,365
25.415,MW,F,F,5.919909857,367
20.345,MW,F,F,16.21498326,368
20.875,MW,F,R,0.361514351,369
20.875,MB,F,R,1.595837105,370
20.875,MW,M,F,11.077757,371
17.7,GK,M,R,0,379
17.7,MW,M,R,10.06925544,380
17.7,MB,F,R,1.534449244,381
